Métier;Secteur;Nombre d'enregistrements;RIASEC Maj;RIASEC min;
Directeur Délégué aux Formations Professionnelles et Technologiques;Enseignement, Formation;4;;;
Directeur des ressources humaines;Ressources Humaines;33;E;C;
Directeur digital;Communication, Médias;3;;;
Directeur du développement des ressources humaines;Ressources Humaines;11;E;C;
Directeur général d'une ONG;Humanitaire;3;;;
Directeur informatique;Informatique, Digital, Télécom;25;E;C;
Directeur Intelligence Artificielle;Informatique, Digital, Télécom;1;;;
Directeur juridique;Droit, Justice;4;;;
Directeur logistique;Transport, Logistique;9;C;E;
Directeur Multicanal;Marketing, E-commerce, Publicité;1;;;
Directeur régional;Commerce, Vente, Distribution;8;;;
Directeur Stratégie Analytics;Informatique, Digital, Télécom;1;;;
Directeur technique;Direction générale, Stratégie, Conseil, Organisation;4;;;
Doctorant;Biologie, Chimie, Pharmacie;1;;;
Documentaliste;Edition, Bibliothèque, Livre;10;C;E;
Domoticien;Bâtiment, Travaux publics, Architecture;2;;;
Douanier;Défense, Sécurité;2;;;
E-commerçant;Marketing, E-commerce, Publicité;3;;;
Economiste de la construction;Bâtiment, Travaux publics, Architecture;3;;;
Editeur musical;Audiovisuel, Cinéma;1;;;
Educateur canin et félin;Animaux;6;;;
Educateur de jeunes enfants;Social, Vie associative;9;S;I;
Educateur de la protection judiciaire de la jeunesse;Social, Vie associative;3;;;
Educateur spécialisé;Social, Vie associative;27;S;I;
Educateur technique spécialisé;Social, Vie associative;1;;;
Education;Psychologie;1;;;
Electricien;Bâtiment, Travaux publics, Architecture;7;R;C;
Electronicien;Industrie, Maintenance, Energie;8;R;C;
Eleveur;Agriculture, Elevage, Pêche;4;;;
Employé à domicile;Services à la personne, Entretien;4;;;
Employé de libre service;Commerce, Vente, Distribution;2;;;
Encadreur;Artisanat d'art;1;;;
Enquêteur judiciaire;Défense, Sécurité;2;;;
Enseignant de Yoga;Sport, Animation;2;;;
Enseignant-chercheur;Sciences, Maths, Physique, Recherche;26;S;I;
Entraîneur;Sport, Animation;3;;;
Entrepreneur;Direction générale, Stratégie, Conseil, Organisation;39;E;;le RIASEC mineur dépend du type d’entreprise
Entrepreneur social;Social, Vie associative;23;E;S;
Equicien;Animaux;1;;;
Ergonome;Industrie, Maintenance, Energie;1;;;
Ergonome web;Informatique, Digital, Télécom;1;;;
Ergothérapeute;Paramédical;2;;;
Esthéticien-cosméticien;Soins esthétiques, Coiffure;9;R;S;
Ethnologue;Sciences Humaines et Sociales;1;;;
Expert automobile;Banque, Assurance, Finance;3;;;
Expert comptable;Audit, Comptabilité, Gestion;17;C;I;
Expert d'assurances;Banque, Assurance, Finance;1;;;
Expert immobilier;Immobilier;2;;;
Exploitant agricole;Agriculture, Elevage, Pêche;3;;;
Exploitant d'équipement de loisirs;Sport, Animation;2;;;
Facteur;Transport, Logistique;2;;;
Fiscaliste;Droit, Justice;5;;;
Fleuriste;Artisanat, Commerce de détail;4;;;
Fonctionnaire européen-international;Fonction publique;3;;;
Fondateur;Artisanat, Commerce de détail;1;;;
Formateur;Ressources Humaines;72;S;E;
Formateur en activités physiques et professionnelles (APP);Défense, Sécurité;1;;;
Formateur en apprentissage;Enseignement, Formation;14;S;E;
